path,dimensions,bytes,consent_status,source_in_Saved_U_CAN/U_CAN_Sources/WP7...,processing
cities/lviv-hero-16x9.jpg,1024x576,218030,cityscape — no identifiable individuals,Pictures/Lviv/Lviv.jpg,native
cities/lviv-card-8x5.jpg,960x600,211450,cityscape — no identifiable individuals,Pictures/Lviv/Lviv.jpg,native
cities/lviv-square-1x1.jpg,652x653,155415,cityscape — no identifiable individuals,Pictures/Lviv/Lviv.jpg,native
cities/kyiv-hero-16x9.jpg,1280x720,173155,cityscape — no identifiable individuals,Pictures/Kyiv/Kyiv6.jpg,native
cities/kyiv-card-8x5.jpg,960x600,112404,cityscape — no identifiable individuals,Pictures/Kyiv/Kyiv6.jpg,native
cities/kyiv-square-1x1.jpg,800x800,117494,cityscape — no identifiable individuals,Pictures/Kyiv/Kyiv6.jpg,native
cities/zhytomyr-hero-16x9.jpg,1280x720,235199,cityscape — no identifiable individuals,Pictures/Zhytomyr/Zhytomyr.JPG,native
cities/zhytomyr-card-8x5.jpg,960x600,161730,cityscape — no identifiable individuals,Pictures/Zhytomyr/Zhytomyr.JPG,native
cities/zhytomyr-square-1x1.jpg,720x720,130224,cityscape — no identifiable individuals,Pictures/Zhytomyr/Zhytomyr.JPG,native
cities/khmelnytskyi-hero-16x9.jpg,1600x900,467372,cityscape — no identifiable individuals,Pictures/Khmelnytskyi/Khmelnytskyi .jpg,native
cities/khmelnytskyi-card-8x5.jpg,960x600,196588,cityscape — no identifiable individuals,Pictures/Khmelnytskyi/Khmelnytskyi .jpg,native
cities/khmelnytskyi-square-1x1.jpg,800x800,201762,cityscape — no identifiable individuals,Pictures/Khmelnytskyi/Khmelnytskyi .jpg,native
cities/ivano-frankivsk-hero-16x9.jpg,1600x900,328861,cityscape — no identifiable individuals,Pictures/Ivano-Frankivsk/Ivano-Frankivsk1.jpg,native
cities/ivano-frankivsk-card-8x5.jpg,960x600,145394,cityscape — no identifiable individuals,Pictures/Ivano-Frankivsk/Ivano-Frankivsk1.jpg,native
cities/ivano-frankivsk-square-1x1.jpg,800x800,148933,cityscape — no identifiable individuals,Pictures/Ivano-Frankivsk/Ivano-Frankivsk1.jpg,native
cities/vinnytsia-hero-16x9.jpg,1600x900,500363,cityscape — no identifiable individuals,Pictures/Vinnytsia/Vinnytsia .jpg,native
cities/vinnytsia-card-8x5.jpg,960x600,204534,cityscape — no identifiable individuals,Pictures/Vinnytsia/Vinnytsia .jpg,native
cities/vinnytsia-square-1x1.jpg,800x800,218247,cityscape — no identifiable individuals,Pictures/Vinnytsia/Vinnytsia .jpg,native
cities/lviv-banner-16x9.png,1440x810,484910,official WP7 banner — no identifiable individuals,Communication materials/Banners/Digital banner_Lviv.png,native
cities/kyiv-banner-16x9.png,1440x810,505208,official WP7 banner — no identifiable individuals,Communication materials/Banners/Digital banner_Kyiv.png,native
cities/zhytomyr-banner-16x9.png,1440x810,483066,official WP7 banner — no identifiable individuals,Communication materials/Banners/Digital banner_Zhytomyr.png,native
cities/khmelnytskyi-banner-16x9.png,1440x810,473027,official WP7 banner — no identifiable individuals,Communication materials/Banners/Digital banner_Khmelnytskyi.png,native
cities/ivano-frankivsk-banner-16x9.png,1440x810,417761,official WP7 banner — no identifiable individuals,Communication materials/Banners/Digital banner_Ivano-Frankivsk.png,native
cities/vinnytsia-banner-16x9.png,1440x810,456556,official WP7 banner — no identifiable individuals,Communication materials/Banners/Digital banner_Vinnytsia.png,native
map/ukraine-pilots-light-green-no-names.png,1024x537,329115,n/a — diagram,Communication materials/Maps/U_CAN _map_light green_no names.png,native
map/ukraine-pilots-light-blue-with-names.png,1024x537,403662,n/a — diagram,Communication materials/Maps/U_CAN_light blu_ with names.png,native
map/ukraine-pilots-light-blue-no-names.png,1024x537,326036,n/a — diagram,Communication materials/Maps/U_CAN_lightblue_no names.png,native
map/ukraine-pilots-dark-blue-no-names.png,1024x537,329107,n/a — diagram,Communication materials/Maps/U_CAN_map_dark blue_no names.png,native
map/ukraine-pilots-dark-green-no-names.png,1024x537,328228,n/a — diagram,Communication materials/Maps/U_CAN_map_dark green_no names.png,native
illustrations/ucan-spot-illustrations.png,2354x408,268075,n/a — illustration,Social media/Templates/250612_U_CAN_Social-Templates[Illustrations_for_Canva].png,native
project/project-01-ceec-panel.jpg,1600x1067,262623,"FACES — consent required: panel of six, faces clear — CEEC 2025 public session",Conferences/2025_11_CEEC 2025/Photos/Selected/DSC02311.jpg,downscaled to 1600px
project/project-02-ceec-audience.jpg,1600x1067,311486,"FACES — consent required: audience from behind, but panel members identifiable",Conferences/2025_11_CEEC 2025/Photos/Selected/DSC02339.jpg,downscaled to 1600px
project/project-03-ceec-speaker.jpg,1600x1067,169750,"FACES — consent required: single speaker at podium, face clear",Conferences/2025_11_CEEC 2025/Photos/Selected/DSC02407.jpg,downscaled to 1600px
project/project-04-ceec-delegation.jpg,1600x1067,225041,"FACES — consent required: posed group of five — highest risk, needs releases",Conferences/2025_11_CEEC 2025/Photos/Selected/DSC02379.jpg,downscaled to 1600px
project/project-05-ceec-room.jpg,1600x1067,151698,"CLEAR — SFPA 'with Ukraine' banner, empty room, no people",Conferences/2025_11_CEEC 2025/Photos/Selected/SON06421.jpg,downscaled to 1600px
project/project-06-zhy-greenhouse.jpg,1600x1200,567034,"FACES — consent required: five visitors in greenhouse, faces partly visible",Materials for posting/25-09-24 bis 27_ZHY-visit LHD_UrbanGardening/Pictures/Selected/DSC_1450.JPG,downscaled to 1600px
project/project-07-zhy-briefing.jpg,1600x1200,201676,"FACES — consent required: six people at a briefing table, faces clear",Materials for posting/25-09-24 bis 27_ZHY-visit LHD_UrbanGardening/Pictures/Selected/DSC_1296.JPG,downscaled to 1600px
project/project-08-zhy-reception.jpg,1600x1200,292157,"FACES — consent required: six people at a reception table, faces clear",Materials for posting/25-09-24 bis 27_ZHY-visit LHD_UrbanGardening/Pictures/Selected/DSC_1389.JPG,downscaled to 1600px
project/project-09-zhy-workshop.jpg,1600x1200,264663,"FACES — consent required: single presenter, face clear",Materials for posting/25-09-24 bis 27_ZHY-visit LHD_UrbanGardening/Pictures/Selected/DSC_1468.JPG,downscaled to 1600px
project/project-10-zhy-board.jpg,1600x1200,262778,"CLEAR — workshop results board, no people",Materials for posting/25-09-24 bis 27_ZHY-visit LHD_UrbanGardening/Pictures/Selected/DSC_1475.JPG,downscaled to 1600px
